account_code,account_name,account_group,description,normal_balance,transaction_type,recommended_industry_group,keywords,display_priority,note,source_type
L002,지급어음,부채,상품·원재료 매입 후 약속어음을 발행·교부한 경우,대변,어음발행,제조업;도소매업,지급어음;약속어음발행;어음교부,2,상품·원재료 매입 후 약속어음을 발행·교부한 경우,book_base
L003,매입채무,부채,일반 상거래에서 발생한 외상매입금과 지급어음의 합계,대변,매입채무관리,도소매업;제조업,외상매입금;지급어음;매입채무,1,일반 상거래에서 발생한 외상매입금과 지급어음의 합계,book_base
L004,차입금,부채,개인이나 금융기관 등으로부터 빌려 쓴 돈,대변,자금차입,공통,차입금;대출;빌린 돈;금융기관차입,1,개인이나 금융기관 등으로부터 빌려 쓴 돈,book_base
L005,미지급이자,부채,빌린 돈의 이자 중 아직 지급하지 않은 부분,대변,이자지급예정,공통,미지급이자;아직 안 낸 이자;차입금이자,2,빌린 돈의 이자 중 아직 지급하지 않은 부분,book_base
L006,선수금,부채,상품·제품·용역 제공 전에 대가 일부 또는 전부를 먼저 받은 금액,대변,대금선수취,서비스업;제조업;도소매업;숙박업,선수금;예약금;계약금수취;선입금,1,상품·제품·용역 제공 전에 대가 일부 또는 전부를 먼저 받은 금액,book_base
L007,사채,부채,장기·다액 자금 조달을 위해 채권을 발행하고 차입한 액면금액,대변,회사채발행,법인,사채;회사채;채권발행;장기자금조달,3,장기·다액 자금 조달을 위해 채권을 발행하고 차입한 액면금액,book_base
E001,자본금,자본,회사가 발행한 주식의 총 액면가,대변,출자및주식발행,법인,자본금;출자;주식발행;액면가,1,회사가 발행한 주식의 총 액면가,book_base
E002,자기주식,자본,회사가 특수한 목적으로 유통 중인 자기 주식을 취득한 것,차변성격,자기주식취득,법인,자기주식;자사주;주가안정;경영권방어,3,회사가 특수한 목적으로 유통 중인 자기 주식을 취득한 것,book_base
E003,이익잉여금,자본,손익거래 이익을 원천으로 하는 자본금 초과 자기자본,대변,이익누적,법인,이익잉여금;잉여금;누적이익;미처분이익,2,손익거래 이익을 원천으로 하는 자본금 초과 자기자본,book_base
E004,배당금,자본,주주에게 소유 지분에 따라 이익잉여금 일부를 분배하는 것,차변성격,배당지급,법인,배당금;주주배당;이익처분,3,주주에게 소유 지분에 따라 이익잉여금 일부를 분배하는 것,book_base
R001,매출액,수익,상품·제품 판매 및 노역 제공에 의한 수입,대변,상품제품판매,도소매업;제조업,매출액;판매;상품판매;제품판매;노역제공,1,상품·제품 판매 및 노역 제공에 의한 수입,book_base
R002,용역수익,수익,용역 또는 서비스 제공에 따른 수익,대변,서비스제공,서비스업;전문서비스업;IT서비스업,용역수익;서비스;상담;개발;대행,1,용역 또는 서비스 제공에 따른 수익,book_base
R003,이자수익,수익,은행예금·대여금·유가증권 등의 수입이자,대변,이자수취,금융업;투자업;공통,이자수익;금융수익;예금이자;대여금이자;할인료,2,은행예금·대여금·유가증권 등의 수입이자,book_base
R004,배당금수익,수익,투자자산을 통해 받는 배당금,대변,배당수취,금융업;투자업;법인,배당금수익;수입배당금;주식배당;출자금배당,3,투자자산을 통해 받는 배당금,book_base
R005,수수료수익,수익,상품 판매 등을 중개하고 받은 수수료,대변,중개수수료수취,플랫폼업;중개업;서비스업,수수료수익;수입수수료;중개수수료;대행수수료,1,상품 판매 등을 중개하고 받은 수수료,book_base
R006,임대료수익,수익,건물·토지 등을 빌려주고 받은 집세나 텃세,대변,임대수입,부동산업;임대업,임대료수익;월세;집세;텃세;건물임대;토지임대,1,건물·토지 등을 빌려주고 받은 집세나 텃세,book_base
X001,매출원가,비용,판매 과정에서 유출 또는 소비된 재고자산의 취득원가 또는 제조원가,차변,매출원가인식,도소매업;제조업,매출원가;원가;상품원가;제조원가;재고자산소비,1,판매 과정에서 유출 또는 소비된 재고자산의 취득원가 또는 제조원가,book_base
X002,판매비와관리비,비용,판매 및 관리 활동에서 발생하는 일반 비용,차변,일반운영비,공통,판매비와관리비;판관비;운영비;관리비,2,판매 및 관리 활동에서 발생하는 일반 비용,book_base
X003,급여,비용,고용계약에 따라 직원에게 정기 지급하는 노동 대가,차변,인건비지급,공통,급여;월급;인건비;직원급여;임직원급여,1,고용계약에 따라 직원에게 정기 지급하는 노동 대가,book_base
X004,임차료,비용,타인의 건물이나 토지를 사용하고 지급하는 집세나 텃세,차변,임대료지급,공통;음식점업;소매업;서비스업,임차료;월세;집세;점포임대료;사무실임대료,1,타인의 건물이나 토지를 사용하고 지급하는 집세나 텃세,book_base
X005,보험료,비용,보험 가입 후 납부하는 비용,차변,보험료납부,공통,보험료;보험;화재보험;자동차보험,2,보험 가입 후 납부하는 비용,book_base
X006,수수료비용,비용,서비스 제공받은 대가로 지급하는 수수료,차변,수수료지급,공통;플랫폼업;쇼핑몰;서비스업,수수료비용;지급수수료;결제수수료;플랫폼수수료;중개수수료,1,서비스 제공받은 대가로 지급하는 수수료,book_base
X007,광고선전비,비용,불특정 다수 대상 제품 판매촉진 활동 비용,차변,광고홍보비지급,공통;쇼핑몰;소매업;서비스업,광고선전비;광고;홍보;마케팅;판매촉진,1,불특정 다수 대상 제품 판매촉진 활동 비용,book_base
X008,이자비용,비용,차입금·사채에 대한 이자 지급 비용,차변,이자지급,공통,이자비용;대출이자;차입금이자;사채이자,2,차입금·사채에 대한 이자 지급 비용,book_base
X009,법인세비용,비용,법인세 납부 또는 인식 관련 비용,차변,법인세인식,법인,법인세비용;법인세;세금,3,법인세 납부 또는 인식 관련 비용,book_base
X010,상품매입,비용,판매 목적 상품을 매입한 금액,차변,판매용상품매입,도소매업;전자상거래,상품매입;사입;도매;판매용상품;재판매,1,업종별 장부 추천용 확장 계정,project_extension
X011,원재료매입,비용,제조·조리·시공에 투입되는 원재료 매입 금액,차변,원재료매입,제조업;음식점업;카페;건설업,원재료;식재료;재료;자재;부품;원두,1,업종별 장부 추천용 확장 계정,project_extension
X012,운반비,비용,택배·화물·배송 등 운송 관련 비용,차변,배송운송비,도소매업;전자상거래;제조업,택배;배송;화물;운송장;운반비;퀵,1,기존 EXP_DELIVERY를 표준화,project_extension
X013,소모품비,비용,사무용품·포장재·소액 비품 등 반복 소모성 물품 구입 비용,차변,소모품구매,공통,소모품;사무용품;포장재;박스;봉투;테이프;완충재,1,기존 EXP_SUPPLIES를 표준화,project_extension
X014,통신비,비용,인터넷·전화·모바일·회선 사용료,차변,통신요금지급,공통;정보통신업,통신비;인터넷;전화;휴대폰;회선;서버회선,1,기존 EXP_COMM을 표준화,project_extension
X015,수도광열비,비용,전기·가스·수도 등 사업장 공공요금,차변,공공요금지급,공통;음식점업;카페;피트니스,전기;가스;수도;공공요금;관리비;수도광열비,1,기존 EXP_WATER_ELEC를 표준화,project_extension
X016,여비교통비,비용,출장·외근·대중교통·주차 등 이동 관련 비용,차변,교통출장비,공통,교통비;출장;외근;주차;택시;KTX;버스,1,기존 EXP_TRAVEL을 표준화,project_extension
X017,외주용역비,비용,외부 전문가·프리랜서·협력업체 용역 비용,차변,외주용역비,정보통신업;디자인;콘텐츠;건설업;교육서비스업,외주;용역;프리랜서;개발외주;디자인외주;시공외주,1,기존 EXP_OUTSOURCING을 표준화,project_extension
X018,제세공과금,비용,사업 관련 세금·공과금·협회비 등,차변,세금공과금지급,공통,제세공과금;세금;공과금;면허세;협회비;등록세,2,기존 EXP_TAX를 표준화,project_extension
X019,차량유지비,비용,사업용 차량의 유류·정비·주차·통행료,차변,차량비지급,공통;건설업;방문서비스,주유;정비;주차;통행료;차량;자동차;유류비,1,기존 EXP_VEHICLE을 표준화,project_extension
X020,복리후생비,비용,임직원 식대·간식·복지 목적 비용,차변,직원복지비,공통,복리후생;식대;간식;회식;직원복지,2,기존 EXP_WELFARE를 표준화,project_extension
