mapping_id,industry_key,industry_code,industry_name,transaction_keywords,transaction_type,recommended_account_code,recommended_account_name,score,reason,caution
SW-001,SW,DEMO-SW-001,소프트웨어 개발업,AWS|Azure|GCP|클라우드,클라우드 사용료,X006,수수료비용,0.87,외부 플랫폼 사용료 또는 클라우드 이용료 성격,통신비 또는 무형자산 처리와 구분 필요
SW-002,SW,DEMO-SW-001,소프트웨어 개발업,GitHub|Notion|Figma|SaaS|구독,SaaS 구독료,X006,수수료비용,0.86,개발/협업 도구 사용료 가능성이 높음,장기 라이선스는 자산 처리 가능성 검토
SW-003,SW,DEMO-SW-001,소프트웨어 개발업,인터넷|회선|통신,통신 서비스 비용,X014,통신비,0.83,사무실 또는 서비스 운영용 통신 서비스 비용,클라우드 비용과 구분 필요
SW-004,SW,DEMO-SW-001,소프트웨어 개발업,노트북|모니터|맥북|서버 장비,개발 장비 구입,A021,비품,0.84,사업용 장비 취득 가능성이 높음,소액 비품은 소모품비 처리 가능
SW-005,SW,DEMO-SW-001,소프트웨어 개발업,프리랜서 개발|외주 개발|QA 외주,개발 외주비,X017,외주용역비,0.85,외부 전문가 개발 용역 성격,근로계약 형태와 구분 필요
SW-006,SW,DEMO-SW-001,소프트웨어 개발업,검색광고|런칭 광고|앱 광고,서비스 홍보비,X007,광고선전비,0.79,서비스 사용자 확보 목적 광고 가능성,대행 수수료 포함 여부 확인
SW-007,SW,DEMO-SW-001,소프트웨어 개발업,사무실 월세|공유오피스|좌석 이용료,사무 공간 사용료,X004,임차료,0.80,업무 공간 사용료 가능성이 높음,보증금과 구분 필요
SW-008,SW,DEMO-SW-001,소프트웨어 개발업,전기요금|관리비|냉난방비,사무실 공공요금,X015,수도광열비,0.72,사무실 운영 관련 공공요금 성격,공용관리비 세부 항목 확인 필요
SW-009,SW,DEMO-SW-001,소프트웨어 개발업,교통비|출장비|KTX|택시,출장/교통비,X016,여비교통비,0.74,업무 이동 및 출장 관련 비용,개인 이동분과 구분 필요
SW-010,SW,DEMO-SW-001,소프트웨어 개발업,보안 인증|도메인|SSL|서버 인증서,IT 운영 필수 서비스 비용,X006,수수료비용,0.78,서비스 운영에 필요한 외부 서비스 사용료 성격,자산성 여부 별도 검토
EDU-001,EDU,DEMO-EDU-001,교육서비스업,강의장|세미나실|대관,교육 공간 대여,X004,임차료,0.87,교육 제공 공간 사용료 가능성이 높음,행사 대행료와 구분 필요
EDU-002,EDU,DEMO-EDU-001,교육서비스업,교재|인쇄|제본|프린트,교재 제작비,X013,소모품비,0.75,교육 운영 자료 제작 비용 가능성,판매용 교재는 상품매입 또는 원가 검토
EDU-003,EDU,DEMO-EDU-001,교육서비스업,줌|웨비나|LMS|강의 플랫폼,온라인 교육 플랫폼 사용료,X006,수수료비용,0.83,온라인 교육 운영 도구 사용료 성격,통신비와 구분 필요
EDU-004,EDU,DEMO-EDU-001,교육서비스업,모집 광고|수강생 모집|검색 광고,교육 홍보비,X007,광고선전비,0.84,수강생 모집 목적 광고 가능성,대행 수수료 포함 여부 확인
EDU-005,EDU,DEMO-EDU-001,교육서비스업,강사료|외부 강사|특강비,외부 강사 지급액,X017,외주용역비,0.82,외부 강사/전문가 용역비 가능성,원천징수 여부 확인 필요
EDU-006,EDU,DEMO-EDU-001,교육서비스업,프로젝터|노트북|마이크|카메라,교육 장비 구입,A021,비품,0.78,교육 운영 장비 취득 가능성,소액 비품은 소모품비 검토
EDU-007,EDU,DEMO-EDU-001,교육서비스업,지하철|버스|택시|출장,이동/출장비,X016,여비교통비,0.73,업무 이동 또는 출장 관련 비용,사적 이동분 제외 필요
EDU-008,EDU,DEMO-EDU-001,교육서비스업,직원 급여|행정 직원|운영 인력,직원 인건비,X003,급여,0.81,교육 운영 직원 급여 가능성,외부 강사료와 구분 필요
EDU-009,EDU,DEMO-EDU-001,교육서비스업,인터넷|전화|통신,통신비,X014,통신비,0.71,교육 운영용 통신 서비스 비용,플랫폼 사용료와 구분 필요
EDU-010,EDU,DEMO-EDU-001,교육서비스업,간식|다과|직원 식대,복리후생성 지출,X020,복리후생비,0.69,직원 복지성 지출 가능성,수강생 제공 행사비와 구분 필요
DESIGN-001,DESIGN,DEMO-DESIGN-001,디자인 서비스업,폰트|이미지|아이콘|템플릿,디자인 리소스 구매,X006,수수료비용,0.82,외부 디자인 리소스 사용료 가능성이 높음,라이선스 범위 확인 필요
DESIGN-002,DESIGN,DEMO-DESIGN-001,디자인 서비스업,프리랜서 디자이너|영상 외주|편집 외주,외부 제작 용역,X017,외주용역비,0.88,외부 전문가 제작 용역비 가능성이 높음,원천징수 여부 확인 필요
DESIGN-003,DESIGN,DEMO-DESIGN-001,디자인 서비스업,SNS 광고|포트폴리오 홍보|검색 광고,자사 홍보비,X007,광고선전비,0.79,고객 유치용 홍보 목적 지출 가능성,대행 수수료 포함 여부 확인
DESIGN-004,DESIGN,DEMO-DESIGN-001,디자인 서비스업,아이패드|펜 태블릿|고사양 PC,디자인 장비 구입,A021,비품,0.84,업무용 장비 취득 가능성이 높음,소액 주변기기는 소모품비 검토
DESIGN-005,DESIGN,DEMO-DESIGN-001,디자인 서비스업,공유오피스|작업실 월세|스튜디오 월세,작업 공간 사용료,X004,임차료,0.80,업무 공간 사용료 가능성이 높음,보증금과 구분 필요
DESIGN-006,DESIGN,DEMO-DESIGN-001,디자인 서비스업,인쇄 샘플|패키지 샘플|시안 출력,샘플 제작비,X013,소모품비,0.76,시안 또는 샘플 제작 비용 가능성,판매용 제작물과 구분 필요
DESIGN-007,DESIGN,DEMO-DESIGN-001,디자인 서비스업,인터넷|전화|통신,통신비,X014,통신비,0.70,업무용 통신 서비스 비용,SaaS 사용료와 구분 필요
DESIGN-008,DESIGN,DEMO-DESIGN-001,디자인 서비스업,사진 촬영|렌탈 스튜디오|장소 대관,촬영/작업 공간 대여,X004,임차료,0.77,일시적 작업 공간 사용료 가능성,장비 대여료와 구분 필요
DESIGN-009,DESIGN,DEMO-DESIGN-001,디자인 서비스업,택배|시안 발송|샘플 배송,배송비,X012,운반비,0.68,시안/샘플 전달을 위한 배송 비용,고객 재청구 여부 확인 필요
DESIGN-010,DESIGN,DEMO-DESIGN-001,디자인 서비스업,직원 급여|어시스턴트 급여,직원 인건비,X003,급여,0.78,운영 인력 급여 가능성이 높음,외주 지급액과 구분 필요
BEAUTY-001,BEAUTY,DEMO-BEAUTY-001,미용 서비스업,염색약|샴푸|시술재료|네일재료,미용 재료 구매,X011,원재료매입,0.91,서비스 제공에 직접 사용하는 재료 성격,판매용 제품이면 상품매입 검토
BEAUTY-002,BEAUTY,DEMO-BEAUTY-001,미용 서비스업,월세|상가 임대료|관리비,매장 임차료,X004,임차료,0.89,영업장 공간 사용료 가능성이 높음,보증금과 구분 필요
BEAUTY-003,BEAUTY,DEMO-BEAUTY-001,미용 서비스업,예약앱|플랫폼 수수료|결제 수수료,예약/결제 플랫폼 비용,X006,수수료비용,0.84,예약 또는 결제 플랫폼 이용료 성격,광고 상품과 구분 필요
BEAUTY-004,BEAUTY,DEMO-BEAUTY-001,미용 서비스업,간판|오픈 행사|지역 광고,홍보비,X007,광고선전비,0.80,고객 유치용 홍보 지출 가능성,접대성 지출과 구분 필요
BEAUTY-005,BEAUTY,DEMO-BEAUTY-001,미용 서비스업,수건|장갑|소독제|일회용품,매장 소모품 구매,X013,소모품비,0.78,영업용 소모품 지출 가능성이 높음,재료비와 구분 필요
BEAUTY-006,BEAUTY,DEMO-BEAUTY-001,미용 서비스업,직원 급여|스태프 급여,직원 인건비,X003,급여,0.82,직원 급여 가능성이 높음,프리랜서 정산과 구분 필요
BEAUTY-007,BEAUTY,DEMO-BEAUTY-001,미용 서비스업,전기요금|수도요금|가스요금,공공요금,X015,수도광열비,0.76,매장 운영 관련 공공요금 성격,주거 겸용인 경우 안분 필요
BEAUTY-008,BEAUTY,DEMO-BEAUTY-001,미용 서비스업,드라이기|레이저기기|미용 장비,미용 장비 구입,A021,비품,0.83,사업용 장비 취득 가능성이 높음,소액 비품은 소모품비 검토
BEAUTY-009,BEAUTY,DEMO-BEAUTY-001,미용 서비스업,고객 음료|직원 간식|복지비,복리후생성 지출,X020,복리후생비,0.67,직원 복지 또는 응대용 소액 지출 가능성,접대성 지출과 구분 필요
BEAUTY-010,BEAUTY,DEMO-BEAUTY-001,미용 서비스업,배상책임보험|화재보험,보험료,X005,보험료,0.72,사업장 보험료 가능성이 높음,개인 보험과 구분 필요
CAFE-001,CAFE,DEMO-CAFE-001,카페/음료점업,원두|우유|시럽|컵|디저트 재료,음료/디저트 재료 구매,X011,원재료매입,0.92,음료 제조 및 판매 관련 원재료 구입 가능성,판매용 완제품은 상품매입 검토
CAFE-002,CAFE,DEMO-CAFE-001,카페/음료점업,배달앱|테이블오더 수수료|PG 수수료,플랫폼 수수료,X006,수수료비용,0.87,플랫폼 이용 또는 중개 수수료 성격,광고 상품과 구분 필요
CAFE-003,CAFE,DEMO-CAFE-001,카페/음료점업,월세|임대료|상가 관리비,매장 임차료,X004,임차료,0.90,매장 공간 사용료 성격,보증금과 구분 필요
CAFE-004,CAFE,DEMO-CAFE-001,카페/음료점업,전기요금|수도요금|가스요금,공공요금,X015,수도광열비,0.89,카페 운영 관련 공공요금 성격,주거 겸용이면 안분 필요
CAFE-005,CAFE,DEMO-CAFE-001,카페/음료점업,알바 급여|바리스타 급여,직원 인건비,X003,급여,0.84,직원 인건비 가능성이 높음,원천세·4대보험 별도 검토
CAFE-006,CAFE,DEMO-CAFE-001,카페/음료점업,테이크아웃 컵|빨대|냅킨,소모품 구매,X013,소모품비,0.78,영업용 소모품 지출 가능성,재료비와 중복 구분 필요
CAFE-007,CAFE,DEMO-CAFE-001,카페/음료점업,인스타 광고|지역 광고|신규 오픈 광고,홍보비,X007,광고선전비,0.79,고객 유치 목적 광고 지출 가능성,대행 수수료와 구분 필요
CAFE-008,CAFE,DEMO-CAFE-001,카페/음료점업,원두머신|제빙기|냉장고,카페 장비 구입,A021,비품,0.86,매장 운영 장비 취득 가능성이 높음,소액 비품은 소모품비 검토
CAFE-009,CAFE,DEMO-CAFE-001,카페/음료점업,주유|주차|납품 차량 수리,차량 운영비,X019,차량유지비,0.69,납품 또는 운영 차량 비용 가능성,사적 사용분 제외 필요
CAFE-010,CAFE,DEMO-CAFE-001,카페/음료점업,화재보험|시설보험,보험료,X005,보험료,0.71,사업장 시설 보험료 가능성이 높음,개인 보험과 구분 필요
FITNESS-001,FITNESS,DEMO-FITNESS-001,피트니스 서비스업,헬스기구|런닝머신|덤벨|운동 장비,운동 장비 구입,A021,비품,0.88,센터 운영용 장비 취득 가능성이 높음,소액 소도구는 소모품비 검토
FITNESS-002,FITNESS,DEMO-FITNESS-001,피트니스 서비스업,월세|시설 임대료|공간 사용료,센터 임차료,X004,임차료,0.90,영업장 공간 사용료 성격,보증금과 구분 필요
FITNESS-003,FITNESS,DEMO-FITNESS-001,피트니스 서비스업,PT 강사료|프리랜서 강사|외부 강사,외부 강사/용역비,X017,외주용역비,0.83,프리랜서 강사 등 외부 용역비 성격,급여와 구분 필요
FITNESS-004,FITNESS,DEMO-FITNESS-001,피트니스 서비스업,회원 모집 광고|전단지|SNS 광고,홍보비,X007,광고선전비,0.82,회원 유치 목적 광고 가능성,접대성 지출과 구분 필요
FITNESS-005,FITNESS,DEMO-FITNESS-001,피트니스 서비스업,전기요금|가스요금|수도요금,공공요금,X015,수도광열비,0.87,시설 운영 관련 공공요금 가능성,주거 겸용이면 안분 필요
FITNESS-006,FITNESS,DEMO-FITNESS-001,피트니스 서비스업,정수기 렌탈|소프트웨어 이용료|앱 사용료,운영 서비스 비용,X006,수수료비용,0.75,외부 서비스 또는 렌탈 이용료 성격,장기 자산 취득과 구분 필요
FITNESS-007,FITNESS,DEMO-FITNESS-001,피트니스 서비스업,수건|청소도구|소독제,센터 소모품 구매,X013,소모품비,0.77,센터 운영용 소모품 지출 가능성,회원용 판매 상품은 상품매입 검토
FITNESS-008,FITNESS,DEMO-FITNESS-001,피트니스 서비스업,직원 급여|상담 직원 급여,직원 인건비,X003,급여,0.80,센터 운영 직원 급여 가능성이 높음,프리랜서 PT 정산과 구분 필요
FITNESS-009,FITNESS,DEMO-FITNESS-001,피트니스 서비스업,단체 보험|시설 보험|배상책임보험,보험료,X005,보험료,0.73,시설 또는 책임 보험료 가능성,개인 보험과 구분 필요
FITNESS-010,FITNESS,DEMO-FITNESS-001,피트니스 서비스업,회원 음료|직원 간식|복지,복리후생성 지출,X020,복리후생비,0.66,직원 복지성 지출 가능성,회원 이벤트 비용과 구분 필요
CONTENT-001,CONTENT,DEMO-CONTENT-001,콘텐츠 제작업,카메라|렌즈|마이크|조명,촬영 장비 구입,A021,비품,0.85,콘텐츠 제작 장비 취득 가능성이 높음,소액 액세서리는 소모품비 검토
CONTENT-002,CONTENT,DEMO-CONTENT-001,콘텐츠 제작업,프리미어|포토샵|캔바|편집 툴,편집 소프트웨어 사용료,X006,수수료비용,0.83,콘텐츠 제작 도구 사용료 성격,장기 라이선스는 자산 처리 가능성 검토
CONTENT-003,CONTENT,DEMO-CONTENT-001,콘텐츠 제작업,촬영 스튜디오|대관|공간 사용료,촬영 공간 대여료,X004,임차료,0.84,촬영용 공간 사용료 가능성이 높음,장비 대여료와 구분 필요
CONTENT-004,CONTENT,DEMO-CONTENT-001,콘텐츠 제작업,유튜브 광고|채널 홍보|SNS 광고,콘텐츠 홍보비,X007,광고선전비,0.80,채널 또는 콘텐츠 홍보 목적 지출 가능성,대행 수수료 포함 여부 확인
CONTENT-005,CONTENT,DEMO-CONTENT-001,콘텐츠 제작업,택배|소품 배송|샘플 발송,배송비,X012,운반비,0.67,소품 또는 샘플 발송 비용 가능성,고객 재청구 여부 확인 필요
CONTENT-006,CONTENT,DEMO-CONTENT-001,콘텐츠 제작업,작가 외주|편집 외주|썸네일 외주,외부 제작 용역비,X017,외주용역비,0.87,외부 전문가 제작 용역비 가능성이 높음,원천징수 여부 검토
CONTENT-007,CONTENT,DEMO-CONTENT-001,콘텐츠 제작업,촬영 소품|배경지|메모리카드,촬영 소모품 구매,X013,소모품비,0.74,콘텐츠 제작용 소모품 지출 가능성,재사용 가능 고가 장비는 자산 검토
CONTENT-008,CONTENT,DEMO-CONTENT-001,콘텐츠 제작업,인터넷|회선|통신,통신비,X014,통신비,0.72,업로드/업무용 통신 서비스 비용,플랫폼 이용료와 구분 필요
CONTENT-009,CONTENT,DEMO-CONTENT-001,콘텐츠 제작업,직원 급여|매니저 급여,직원 인건비,X003,급여,0.76,운영 인력 급여 가능성,프리랜서 정산과 구분 필요
CONTENT-010,CONTENT,DEMO-CONTENT-001,콘텐츠 제작업,배상책임보험|장비 보험,보험료,X005,보험료,0.69,장비 또는 업무 관련 보험료 가능성,개인 보험과 구분 필요
INTERIOR-001,INTERIOR,DEMO-INTERIOR-001,인테리어 시공업,타일|목재|페인트|건축자재,자재 구매,X011,원재료매입,0.92,시공에 직접 사용되는 자재 구입 가능성이 높음,공구 구매와 구분 필요
INTERIOR-002,INTERIOR,DEMO-INTERIOR-001,인테리어 시공업,하도급|외주 시공|시공 용역,외부 시공 용역비,X017,외주용역비,0.84,외부 시공 인력 또는 용역비 가능성이 높음,직접 고용 인건비와 구분 필요
INTERIOR-003,INTERIOR,DEMO-INTERIOR-001,인테리어 시공업,화물차 주유|톨게이트|정비|주차,차량 운영비,X019,차량유지비,0.81,현장 이동용 차량 관련 비용 가능성,사적 사용분 제외 필요
INTERIOR-004,INTERIOR,DEMO-INTERIOR-001,인테리어 시공업,전동드릴|레이저레벨기|공구|장비,공구/장비 구입,A021,비품,0.83,사업용 공구·장비 취득 가능성이 높음,소액 공구는 소모품비 검토
INTERIOR-005,INTERIOR,DEMO-INTERIOR-001,인테리어 시공업,사무실 월세|창고 임대료,사무/보관 공간 사용료,X004,임차료,0.78,사무실 또는 자재 보관 공간 사용료 가능성,보증금과 구분 필요
INTERIOR-006,INTERIOR,DEMO-INTERIOR-001,인테리어 시공업,홈페이지 광고|지역 광고|현수막,홍보비,X007,광고선전비,0.74,고객 유치를 위한 홍보 지출 가능성,입찰비용과 구분 필요
INTERIOR-007,INTERIOR,DEMO-INTERIOR-001,인테리어 시공업,안전장갑|마스크|비닐|청소도구,현장 소모품 구매,X013,소모품비,0.79,현장 작업용 소모품 지출 가능성,자재비와 구분 필요
INTERIOR-008,INTERIOR,DEMO-INTERIOR-001,인테리어 시공업,전기요금|수도요금|관리비,사무실 공공요금,X015,수도광열비,0.70,사무실 운영 관련 공공요금 성격,현장 직접비와 구분 필요
INTERIOR-009,INTERIOR,DEMO-INTERIOR-001,인테리어 시공업,직원 급여|현장 직원 급여,직원 인건비,X003,급여,0.80,상시 직원 급여 가능성이 높음,일용직/외주와 구분 필요
INTERIOR-010,INTERIOR,DEMO-INTERIOR-001,인테리어 시공업,산재보험|배상책임보험|화재보험,보험료,X005,보험료,0.73,업무 관련 보험료 가능성이 높음,개인 보험과 구분 필요
